./nestedMerge/EQ_pos2EQ_UnchLoop/libA: equiv,0.2276   ; equiv,0.3873   ; equiv,0.1515   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_divide/libA: equiv,0.2773   ; equiv,0.4025   ; equiv,0.1199   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_getSign2/libA: equiv,0.4164   ; equiv,0.6933   ; equiv,0.2560   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_is_prime1/libA: equiv,0.3969   ; equiv,0.7321   ; equiv,0.2775   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_is_prime2/libA: equiv,0.5615   ; equiv,0.8744   ; equiv,0.3030   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_is_prime3/libA: equiv,3.0556   ; equiv,3.6653   ; equiv,3.0616   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_ltfive/libA: not equiv,0.9031   ; not equiv,1.4820   ; not equiv,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_ltfiveBound/libA: equiv,0.7315   ; equiv,1.0725   ; equiv,0.3650   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_multiple/libA: not equiv,1.0461   ; not equiv,1.6171   ; not equiv,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_multipleBound/libA: equiv,0.7331   ; equiv,1.0911   ; equiv,0.5520   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_odd/libA: equiv,29.5764  ; equiv,30.8171  ; equiv,28.9511  ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_one/libA: not equiv,0.7878   ; not equiv,1.3569   ; not equiv,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_oneBound/libA: equiv,0.6316   ; equiv,0.9768   ; equiv,0.3325   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_oneN2/libA: not equiv,0.7969   ; not equiv,1.3903   ; not equiv,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_pos/libA: equiv,22.8505  ; equiv,24.2296  ; equiv,22.5160  ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_pos2/libA: equiv,0.3743   ; equiv,0.5309   ; equiv,0.1533   ; unknown,0.0000  
./nestedMerge/EQ_pos2EQ_pos3/libA: equiv,0.2812   ; equiv,0.4174   ; equiv,0.1438   ; unknown,0.0000  
./nestedMerge/EQ_pos2EXTRA_ultra_prime_sum/libA: equiv,145.3446 ; equiv,83.3297  ; equiv,154.8941 ; unknown,0.0000  
./nestedMerge/EQ_pos2NEQ_LoopMult20/libA: equiv,0.4414   ; equiv,0.7501   ; equiv,0.2837   ; unknown,0.0000  
