./nestedMerge/EQ_oddEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_oddEQ_divide/libA: equiv,0.1930   ; unknown,0.0000   ; equiv,0.1553   ; equiv,0.0200  
./nestedMerge/EQ_oddEQ_getSign2/libA: equiv,1.1687   ; unknown,0.0000   ; equiv,0.1663   ; equiv,0.0200  
./nestedMerge/EQ_oddEQ_is_prime1/libA: equiv,1.1874   ; unknown,0.0000   ; equiv,0.1194   ; unknown,0.0200  
./nestedMerge/EQ_oddEQ_is_prime2/libA: not equiv,1.5937   ; unknown,0.0000   ; not equiv,0.7340   ; unknown,0.0200  
./nestedMerge/EQ_oddEQ_is_prime3/libA: equiv,27.6042  ; unknown,0.0000   ; equiv,0.7694   ; unknown,0.0400  
./nestedMerge/EQ_oddEQ_ltfive/libA: not equiv,0.7931   ; unknown,0.0000   ; not equiv,0.3396   ; equiv,0.0300  
./nestedMerge/EQ_oddEQ_ltfiveBound/libA: equiv,0.5190   ; unknown,0.0000   ; equiv,0.2966   ; equiv,0.0400  
./nestedMerge/EQ_oddEQ_multiple/libA: not equiv,0.5502   ; unknown,0.0000   ; not equiv,0.2342   ; equiv,0.0200  
./nestedMerge/EQ_oddEQ_multipleBound/libA: equiv,1.2521   ; unknown,0.0000   ; equiv,0.3218   ; equiv,0.0200  
./nestedMerge/EQ_oddEQ_odd/libA: equiv,12.6965  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_oddEQ_one/libA: not equiv,0.7675   ; unknown,0.0000   ; not equiv,0.2118   ; not equiv,0.0300  
./nestedMerge/EQ_oddEQ_oneBound/libA: equiv,0.4988   ; unknown,0.0000   ; equiv,0.2537   ; equiv,0.0300  
./nestedMerge/EQ_oddEQ_oneN2/libA: equiv,1.4355   ; unknown,0.0000   ; equiv,0.2214   ; equiv,0.0300  
./nestedMerge/EQ_oddEQ_pos/libA: equiv,11.3039  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_oddEQ_pos2/libA: equiv,0.2885   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./nestedMerge/EQ_oddEQ_pos3/libA: equiv,1.1593   ; unknown,0.0000   ; equiv,0.1440   ; equiv,0.0200  
./nestedMerge/EQ_oddEXTRA_ultra_prime_sum/libA: equiv,76.0550  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1700  
./nestedMerge/EQ_oddNEQ_LoopMult20/libA: equiv,1.8583   ; unknown,0.0000   ; equiv,0.3600   ; equiv,13.8100 
./nestedMerge/EQ_oddNEQ_LoopUnreach20/libA: not equiv,0.4852   ; unknown,0.0000   ; not equiv,0.1526   ; not equiv,0.0200  
./nestedMerge/EQ_oddNEQ_getSign/libA: not equiv,0.4493   ; unknown,0.0000   ; not equiv,0.1572   ; not equiv,0.0300  
./nestedMerge/EQ_oneBoundEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_oneBoundEQ_is_prime2/libA: equiv,4.6366   ; unknown,0.0000   ; equiv,0.9379   ; unknown,0.0300  
./nestedMerge/EQ_oneBoundEQ_odd/libA: equiv,24.0659  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_oneBoundEQ_pos/libA: equiv,25.5401  ; unknown,0.0000   ; equiv,15.4405  ; unknown,0.0200  
./nestedMerge/EQ_oneBoundEQ_pos2/libA: equiv,0.5203   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0900  
./nestedMerge/EQ_oneBoundEXTRA_ultra_prime_sum/libA: equiv,142.0263 ; unknown,0.0000   ; equiv,6.9635   ; unknown,0.6900  
./nestedMerge/EQ_oneEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_oneEQ_is_prime2/libA: equiv,8.3466   ; unknown,0.0000   ; equiv,1.5767   ; unknown,0.0300  
