./nestedMerge/EQ_is_prime3EQ_is_prime2/libA CC2-Hybrid: equiv    ,6.7412   (Solve) ,,5.311  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.7397  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_is_prime3EQ_odd/libA CC2-Hybrid: timeout  ,300.0000 (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0200  
./nestedMerge/EQ_is_prime3EQ_pos/libA CC2-Hybrid: equiv    ,22.4303  (Solve) ,,21.824 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0200  
./nestedMerge/EQ_is_prime3EQ_pos2/libA CC2-Hybrid: equiv    ,0.6769   (Solve) ,,0.288  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0200  
./nestedMerge/EQ_is_prime3EXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,76.5888  (Solve) ,,74.703 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_UnchLoop/libA CC2-Hybrid: unknown  ,0.0000   (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: unknown  ,0.0000  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_ltfiveBoundEQ_is_prime2/libA CC2-Hybrid: equiv    ,1.1585   (Solve) ,,0.599  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.4626  	llReve: unknown  ,0.0300  
./nestedMerge/EQ_ltfiveBoundEQ_odd/libA CC2-Hybrid: equiv    ,1.9528   (Solve) ,,1.588  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,1.5426  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_pos/libA CC2-Hybrid: equiv    ,26.8100  (Solve) ,,25.620 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,31.4977 	llReve: unknown  ,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_pos2/libA CC2-Hybrid: equiv    ,0.5523   (Solve) ,,0.138  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,31.5578 	llReve: not equiv ,0.0800  
./nestedMerge/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,141.8260 (Solve) ,,138.426	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,165.8168	llReve: timeout  ,300.0000
