./nestedMerge/EQ_oddNEQ_LoopMult20/libA: equiv,1.8489   ; unknown,0.0000   ; equiv,0.3609   ; equiv,13.9400 
./nestedMerge/EQ_oddNEQ_LoopUnreach20/libA: not equiv,0.4994   ; unknown,0.0000   ; not equiv,0.1512   ; not equiv,0.0300  
./nestedMerge/EQ_oddNEQ_getSign/libA: not equiv,0.4626   ; unknown,0.0000   ; not equiv,0.1585   ; not equiv,0.0300  
./nestedMerge/EQ_oneBoundEQ_UnchLoop/libA: equiv,0.3264   ; unknown,0.0000   ; equiv,0.1550   ; equiv,0.2700  
./nestedMerge/EQ_oneBoundEQ_is_prime2/libA: equiv,4.5850   ; unknown,0.0000   ; equiv,0.9362   ; unknown,0.0300  
./nestedMerge/EQ_oneBoundEQ_odd/libA: equiv,23.8208  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_oneBoundEQ_pos/libA: equiv,25.5956  ; unknown,0.0000   ; equiv,15.3979  ; unknown,0.0200  
./nestedMerge/EQ_oneBoundEQ_pos2/libA: equiv,0.5122   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0900  
./nestedMerge/EQ_oneBoundEXTRA_ultra_prime_sum/libA: equiv,142.2648 ; unknown,0.0000   ; equiv,6.9569   ; unknown,0.6800  
./nestedMerge/EQ_oneEQ_UnchLoop/libA: equiv,0.2894   ; unknown,0.0000   ; equiv,0.1503   ; equiv,0.3700  
./nestedMerge/EQ_oneEQ_is_prime2/libA: equiv,8.4882   ; unknown,0.0000   ; equiv,1.5924   ; unknown,0.0300  
./nestedMerge/EQ_oneEQ_odd/libA: equiv,13.8794  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_oneEQ_pos/libA: equiv,14.8104  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_oneEQ_pos2/libA: equiv,0.4626   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0700  
./nestedMerge/EQ_oneEXTRA_ultra_prime_sum/libA: equiv,141.8509 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.7000  
./nestedMerge/EQ_oneN2EQ_UnchLoop/libA: equiv,0.2912   ; unknown,0.0000   ; equiv,0.1470   ; equiv,0.3800  
./nestedMerge/EQ_oneN2EQ_is_prime2/libA: equiv,8.4085   ; unknown,0.0000   ; equiv,1.5867   ; unknown,0.0300  
./nestedMerge/EQ_oneN2EQ_odd/libA: equiv,13.8448  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_oneN2EQ_pos/libA: equiv,14.8164  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_oneN2EQ_pos2/libA: equiv,0.4542   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0700  
./nestedMerge/EQ_oneN2EXTRA_ultra_prime_sum/libA: equiv,143.2838 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.7000  
./nestedMerge/EQ_pos2EQ_Add/libA: equiv,0.2571   ; unknown,0.0000   ; equiv,0.1517   ; equiv,0.0300  
./nestedMerge/EQ_pos2EQ_Const/libA: equiv,0.2644   ; unknown,0.0000   ; equiv,0.1285   ; equiv,0.0300  
./nestedMerge/EQ_pos2EQ_LoopMult20/libA: equiv,0.5213   ; unknown,0.0000   ; equiv,0.1608   ; equiv,0.0400  
./nestedMerge/EQ_pos2EQ_LoopUnreach20/libA: equiv,0.5309   ; unknown,0.0000   ; equiv,0.1507   ; equiv,0.0300  
./nestedMerge/EQ_pos2EQ_UnchLoop/libA: equiv,0.2966   ; unknown,0.0000   ; equiv,0.1296   ; equiv,0.2500  
./nestedMerge/EQ_pos2EQ_divide/libA: equiv,0.3666   ; unknown,0.0000   ; equiv,0.1789   ; equiv,0.0400  
./nestedMerge/EQ_pos2EQ_getSign2/libA: equiv,0.4698   ; unknown,0.0000   ; equiv,0.1432   ; equiv,0.0300  
./nestedMerge/EQ_pos2EQ_is_prime1/libA: equiv,0.4768   ; unknown,0.0000   ; equiv,0.1350   ; unknown,0.0200  
./nestedMerge/EQ_pos2EQ_is_prime2/libA: equiv,0.7027   ; unknown,0.0000   ; equiv,0.1646   ; unknown,0.0300  
./nestedMerge/EQ_pos2EQ_is_prime3/libA: equiv,3.2531   ; unknown,0.0000   ; equiv,1.4800   ; unknown,0.0300  
./nestedMerge/EQ_pos2EQ_ltfive/libA: not equiv,1.1017   ; unknown,0.0000   ; not equiv,0.2549   ; equiv,0.0500  
./nestedMerge/EQ_pos2EQ_ltfiveBound/libA: equiv,0.8821   ; unknown,0.0000   ; equiv,0.2652   ; equiv,0.0700  
