./nestedMerge/EQ_oddEQ_pos2/libA: equiv,0.4000   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./nestedMerge/EQ_oddEQ_pos3/libA: equiv,1.2900   ; unknown,0.0000   ; equiv,0.2700   ; equiv,0.0300  
./nestedMerge/EQ_oddEXTRA_ultra_prime_sum/libA: equiv,75.6000  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1700  
./nestedMerge/EQ_oddNEQ_LoopMult20/libA: equiv,1.9700   ; unknown,0.0000   ; equiv,0.4900   ; equiv,13.8200 
./nestedMerge/EQ_oddNEQ_LoopUnreach20/libA: not equiv,0.6300   ; unknown,0.0000   ; not equiv,0.2700   ; not equiv,0.0300  
./nestedMerge/EQ_oddNEQ_getSign/libA: not equiv,0.5800   ; unknown,0.0000   ; not equiv,0.2800   ; not equiv,0.0400  
./nestedMerge/EQ_oneBoundEQ_LoopMult20/libA: equiv,1.0600   ; unknown,0.0000   ; equiv,0.6300   ; equiv,15.4500 
./nestedMerge/EQ_oneBoundEQ_UnchLoop/libA: equiv,0.4500   ; unknown,0.0000   ; equiv,0.3100   ; equiv,0.2600  
./nestedMerge/EQ_oneBoundEQ_odd/libA: equiv,24.1600  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_oneBoundEQ_pos/libA: equiv,25.6100  ; unknown,0.0000   ; equiv,15.4200  ; unknown,0.0200  
./nestedMerge/EQ_oneBoundEQ_pos2/libA: equiv,0.6300   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0900  
./nestedMerge/EQ_oneBoundEXTRA_ultra_prime_sum/libA: equiv,153.1700 ; unknown,0.0000   ; equiv,6.9300   ; unknown,0.7000  
./nestedMerge/EQ_oneEQ_LoopMult20/libA: equiv,2.7900   ; unknown,0.0000   ; equiv,0.6200   ; equiv,15.0800 
./nestedMerge/EQ_oneEQ_UnchLoop/libA: equiv,0.4300   ; unknown,0.0000   ; equiv,0.2600   ; equiv,0.3700  
./nestedMerge/EQ_oneEQ_odd/libA: equiv,13.9200  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
