./mergedHard/EQ_pos2EQ_pos/libA: equiv,0.4500   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0700  
./mergedHard/EQ_pos2EQ_pos2/libA: equiv,0.4800   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.1100  
./mergedHard/EQ_pos2EQ_pos3/libA: equiv,0.4100   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0500  
./mergedHard/EQ_pos2EXTRA_ultra_prime_sum/libA: equiv,22.8600  ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0800  
./mergedHard/EQ_pos2NEQ_LoopMult20/libA: equiv,0.4200   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2NEQ_LoopUnreach20/libA: equiv,0.3800   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0700  
./mergedHard/EQ_pos2NEQ_getSign/libA: equiv,0.3600   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./mergedHard/EQ_pos3EQ_LoopMult20/libA: equiv,0.3700   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0400  
./mergedHard/EQ_pos3EQ_UnchLoop/libA: equiv,0.3200   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0400  
./mergedHard/EQ_pos3EQ_odd/libA: equiv,0.3400   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0400  
./mergedHard/EQ_pos3EQ_pos/libA: equiv,0.4400   ; unknown,0.0000   ; equiv,0.3700   ; unknown,0.0200  
