./mergedHard/EQ_oddEQ_multiple/libA: equiv,12.9986  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./mergedHard/EQ_oddEQ_multipleBound/libA: equiv,13.5328  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./mergedHard/EQ_oddEQ_odd/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./mergedHard/EQ_oddEQ_one/libA: not equiv,1.9536   ; unknown,0.0000   ; not equiv,1.2266   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_oneBound/libA: not equiv,1.7811   ; unknown,0.0000   ; not equiv,0.9957   ; unknown,0.0200  
./mergedHard/EQ_oddEQ_oneN2/libA: not equiv,1.9395   ; unknown,0.0000   ; not equiv,1.2286   ; unknown,0.0200  
./mergedHard/EQ_oddEQ_pos/libA: not equiv,1.3929   ; unknown,0.0000   ; not equiv,0.8185   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_pos2/libA: not equiv,1.3925   ; unknown,0.0000   ; not equiv,0.8203   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_pos3/libA: not equiv,1.3716   ; unknown,0.0000   ; not equiv,0.9111   ; unknown,0.0100  
./mergedHard/EQ_oddEXTRA_ultra_prime_sum/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./mergedHard/EQ_oddNEQ_LoopMult20/libA: not equiv,1.1313   ; unknown,0.0000   ; not equiv,0.5319   ; unknown,0.0100  
./mergedHard/EQ_oddNEQ_LoopUnreach20/libA: not equiv,1.1041   ; unknown,0.0000   ; not equiv,0.5336   ; unknown,0.0100  
./mergedHard/EQ_oddNEQ_getSign/libA: not equiv,1.0253   ; unknown,0.0000   ; not equiv,0.6423   ; unknown,0.0100  
./mergedHard/EQ_oneBoundEQ_UnchLoop/libA: not equiv,0.5598   ; unknown,0.0000   ; not equiv,0.1495   ; not equiv,0.0300  
./mergedHard/EQ_oneBoundEQ_is_prime2/libA: equiv,0.4935   ; unknown,0.0000   ; equiv,0.2170   ; equiv,0.0400  
./mergedHard/EQ_oneBoundEQ_odd/libA: not equiv,0.7097   ; unknown,0.0000   ; not equiv,0.2083   ; not equiv,0.0300  
./mergedHard/EQ_oneBoundEQ_pos/libA: not equiv,0.7090   ; unknown,0.0000   ; not equiv,0.2002   ; not equiv,0.0500  
./mergedHard/EQ_oneBoundEQ_pos2/libA: not equiv,0.7071   ; unknown,0.0000   ; not equiv,0.2014   ; not equiv,0.0500  
./mergedHard/EQ_oneBoundEXTRA_ultra_prime_sum/libA: not equiv,4.8617   ; unknown,0.0000   ; not equiv,0.1861   ; not equiv,0.0300  
./mergedHard/EQ_oneEQ_UnchLoop/libA: not equiv,0.5674   ; unknown,0.0000   ; not equiv,0.1598   ; not equiv,0.0200  
./mergedHard/EQ_oneEQ_is_prime2/libA: not equiv,0.6736   ; unknown,0.0000   ; not equiv,0.1825   ; not equiv,0.0300  
./mergedHard/EQ_oneEQ_odd/libA: not equiv,0.6513   ; unknown,0.0000   ; not equiv,0.1905   ; not equiv,0.0200  
./mergedHard/EQ_oneEQ_pos/libA: not equiv,0.6945   ; unknown,0.0000   ; not equiv,0.1944   ; not equiv,0.0300  
./mergedHard/EQ_oneEQ_pos2/libA: not equiv,0.6919   ; unknown,0.0000   ; not equiv,0.1930   ; not equiv,0.0300  
./mergedHard/EQ_oneEXTRA_ultra_prime_sum/libA: not equiv,1.8517   ; unknown,0.0000   ; not equiv,0.2068   ; not equiv,0.0300  
./mergedHard/EQ_oneN2EQ_UnchLoop/libA: not equiv,0.5618   ; unknown,0.0000   ; not equiv,0.1610   ; not equiv,0.0200  
./mergedHard/EQ_oneN2EQ_is_prime2/libA: not equiv,0.6953   ; unknown,0.0000   ; not equiv,0.2032   ; equiv,0.0300  
./mergedHard/EQ_oneN2EQ_odd/libA: not equiv,0.7189   ; unknown,0.0000   ; not equiv,0.2315   ; not equiv,0.0200  
./mergedHard/EQ_oneN2EQ_pos/libA: not equiv,0.7302   ; unknown,0.0000   ; not equiv,0.2131   ; not equiv,0.0300  
./mergedHard/EQ_oneN2EQ_pos2/libA: not equiv,0.7303   ; unknown,0.0000   ; not equiv,0.2113   ; not equiv,0.0300  
./mergedHard/EQ_oneN2EXTRA_ultra_prime_sum/libA: not equiv,1.7500   ; unknown,0.0000   ; not equiv,0.1953   ; not equiv,0.0300  
./mergedHard/EQ_pos2EQ_Add/libA: equiv,0.2384   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1000  
./mergedHard/EQ_pos2EQ_Const/libA: equiv,0.2356   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1000  
./mergedHard/EQ_pos2EQ_LoopMult20/libA: equiv,0.2641   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2EQ_LoopUnreach20/libA: equiv,0.2635   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./mergedHard/EQ_pos2EQ_UnchLoop/libA: equiv,0.2358   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1000  
./mergedHard/EQ_pos2EQ_divide/libA: equiv,0.2699   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./mergedHard/EQ_pos2EQ_getSign2/libA: equiv,0.2619   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
