./mergedHard/EQ_oddEQ_one/libA: not equiv,1.9679   ; not equiv,2.4517   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_oneBound/libA: not equiv,1.7686   ; not equiv,2.3314   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_oneN2/libA: not equiv,1.9323   ; not equiv,2.4556   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_pos/libA: not equiv,1.3700   ; not equiv,1.9320   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_pos2/libA: not equiv,1.3647   ; not equiv,1.9435   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEQ_pos3/libA: not equiv,1.3561   ; not equiv,1.9163   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddEXTRA_ultra_prime_sum/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./mergedHard/EQ_oddNEQ_LoopMult20/libA: not equiv,1.1467   ; not equiv,1.7100   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddNEQ_LoopUnreach20/libA: not equiv,1.0937   ; not equiv,1.7228   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oddNEQ_getSign/libA: not equiv,1.0197   ; not equiv,1.5611   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneBoundEQ_LoopMult20/libA: equiv,0.4728   ; equiv,0.7545   ; equiv,0.3264   ; unknown,0.0000  
./mergedHard/EQ_oneBoundEQ_UnchLoop/libA: not equiv,0.5546   ; not equiv,1.1124   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneBoundEQ_odd/libA: not equiv,0.6983   ; not equiv,1.2574   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneBoundEQ_pos/libA: not equiv,0.7064   ; not equiv,1.2697   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneBoundEQ_pos2/libA: not equiv,0.7041   ; not equiv,1.2644   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneBoundEXTRA_ultra_prime_sum/libA: not equiv,2.3513   ; not equiv,3.5858   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneEQ_LoopMult20/libA: not equiv,0.6395   ; not equiv,1.1759   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneEQ_UnchLoop/libA: not equiv,0.5667   ; not equiv,1.1073   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneEQ_odd/libA: not equiv,0.6363   ; not equiv,1.2895   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneEQ_pos/libA: not equiv,0.6834   ; not equiv,1.2564   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneEQ_pos2/libA: not equiv,0.6927   ; not equiv,1.2543   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneEXTRA_ultra_prime_sum/libA: not equiv,2.0531   ; not equiv,3.7921   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneN2EQ_LoopMult20/libA: not equiv,0.6663   ; not equiv,1.2065   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneN2EQ_UnchLoop/libA: not equiv,0.5514   ; not equiv,1.1306   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneN2EQ_odd/libA: not equiv,0.7079   ; not equiv,1.2832   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneN2EQ_pos/libA: not equiv,0.7227   ; not equiv,1.2615   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneN2EQ_pos2/libA: not equiv,0.7317   ; not equiv,1.2412   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_oneN2EXTRA_ultra_prime_sum/libA: not equiv,1.2114   ; not equiv,2.1628   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_Add/libA: equiv,0.2357   ; equiv,0.3701   ; equiv,0.1538   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_Const/libA: equiv,0.2360   ; equiv,0.3589   ; equiv,0.1467   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_LoopMult20/libA: equiv,0.2650   ; equiv,0.4186   ; equiv,0.1441   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_LoopUnreach20/libA: equiv,0.2652   ; equiv,0.3974   ; equiv,0.1538   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_UnchLoop/libA: equiv,0.2374   ; equiv,0.3955   ; equiv,0.1490   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_divide/libA: equiv,0.2741   ; equiv,0.4303   ; equiv,0.1386   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_getSign2/libA: equiv,0.2609   ; equiv,0.4300   ; equiv,0.1439   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_is_prime1/libA: equiv,0.2467   ; equiv,0.3993   ; equiv,0.1588   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_is_prime2/libA: equiv,0.2914   ; equiv,0.4365   ; equiv,0.1349   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_is_prime3/libA: equiv,11.8323  ; equiv,12.3004  ; equiv,11.7543  ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_ltfive/libA: equiv,0.3220   ; equiv,0.4663   ; equiv,0.1381   ; unknown,0.0000  
./mergedHard/EQ_pos2EQ_ltfiveBound/libA: equiv,0.3514   ; equiv,0.4726   ; equiv,0.1388   ; unknown,0.0000  
